user_id,n_candidates,n_prior_orders,ndcg10_model,recall10_model,ndcg10_baseline_freq,recall10_baseline_freq,ndcg10_baseline_freq_recency,recall10_baseline_freq_recency
139926,62,11,0.5215784827120727,0.3157894736842105,0.45767527470376834,0.21052631578947367,0.5212960629027201,0.2631578947368421
113935,64,16,0.20438239758848611,0.5,0.0,0.0,0.0,0.0
2826,13,9,0.9197207891481876,1.0,0.9197207891481876,1.0,1.0,1.0
16601,28,4,0.5140111444990952,0.5,0.42693763812020114,0.375,0.42693763812020114,0.375
44709,49,4,0.23758350840568815,0.3,0.16421958630632805,0.2,0.22466337602289158,0.3
46058,17,11,0.7653606369886217,0.6666666666666666,0.9217868789962071,1.0,0.7653606369886217,0.6666666666666666
179250,58,8,0.38685280723454163,0.5,0.2640681225725909,0.5,0.2640681225725909,0.5
159518,10,4,0.9565912771023181,1.0,0.8158701212319567,1.0,0.9182162519778516,1.0
129045,2,6,1.0,1.0,1.0,1.0,1.0,1.0
156004,37,5,0.0,0.0,0.14126697285982898,0.3333333333333333,0.0,0.0
148805,31,5,0.8223538668023913,0.75,0.8178341711089538,0.75,0.8178341711089538,0.75
33011,44,32,0.617319681505689,0.6666666666666666,0.2960819109658652,0.3333333333333333,0.2960819109658652,0.3333333333333333
44125,53,6,0.5845904686910708,0.4444444444444444,0.5734941056355504,0.5555555555555556,0.5816828629660385,0.5555555555555556
165035,42,3,0.46270962158308365,0.2857142857142857,0.510069131458292,0.2857142857142857,0.3436966913921455,0.21428571428571427
129437,29,4,0.38685280723454163,0.5,0.6131471927654584,0.5,0.38685280723454163,0.5
21504,15,6,0.31546487678572877,1.0,0.3562071871080222,1.0,0.3562071871080222,1.0
189673,17,5,0.99307831664176,1.0,0.99307831664176,1.0,0.9999999999999999,1.0
167780,22,9,0.5912352048230277,1.0,0.8772153153380493,1.0,0.8503449055347546,1.0
93758,23,3,0.5,1.0,0.0,0.0,0.38685280723454163,1.0
77964,64,11,0.3501483019834802,0.6666666666666666,0.5065745439910657,1.0,0.5051284895111403,1.0
69823,48,3,0.38412963719528315,0.4444444444444444,0.42332408484280876,0.3333333333333333,0.3525683241217281,0.2222222222222222
62005,30,8,0.37079398245749273,0.75,0.0,0.0,0.0,0.0
38778,79,13,0.16815228646891087,0.16666666666666666,0.28163720273137616,0.3333333333333333,0.28163720273137616,0.3333333333333333
25047,34,5,0.715550648768261,0.46153846153846156,0.718362797268624,0.46153846153846156,0.6489315753318466,0.38461538461538464
